BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
4000,BPR,2473286400.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,0,Z001,Cash,64993440,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
4000,BPR,2473286402.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.21,0,Z001,Cash,64993503,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.5,0.42,0.07
4000,BPR,2473286403.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.22,0,Z001,Cash,64993560,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.71,0.22,0.07
4000,BPR,2473286401.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,0,Z001,Cash,64993442,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,0 to 10,0.46,0.47,0.07
4000,BPR,2473286405.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.22,0,Z001,Cash,64993781,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.71,0.22,0.07
4000,BPR,2473286404.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.16,0,Z001,Cash,64993729,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,0 to 10,0.46,0.47,0.07
4000,BPR,2473286412.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.22,0,Z001,Cash,64994176,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.71,0.22,0.07
4000,BPR,2473286451.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.22,0,Z001,Cash,64996230,29.12.2018,Dec,29-12-18,29-12-18,1221001,2019,0.0,0,No Delay,0.72,0.22,0.07
4000,BPR,2473286450.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.24,0,Z001,Cash,64996213,29.12.2018,Dec,29-12-18,29-12-18,1221001,2019,0.0,0,No Delay,0.75,0.18,0.07
4000,BPR,2473286455.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.22,0,Z001,Cash,64996677,29.12.2018,Dec,29-12-18,29-12-18,1221001,2019,0.0,0,No Delay,0.72,0.22,0.07
4000,BPR,2473286363.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.05,1,Z001,Cash,64991185,27.12.2018,Dec,27-12-18,27-12-18,1221001,2019,0.0,0,No Delay,0.51,0.42,0.08
4000,BPR,2473286277.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.08,1,Z001,Cash,64985669,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,1.79,9,0 to 10,0.31,0.56,0.13
4000,BPR,2473286173.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.08,1,Z001,Cash,64975485,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.32,0.54,0.15
4000,BPR,2473285780.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.1,1,Z001,Cash,64952473,16.12.2018,Dec,16-12-18,16-12-18,1221001,2019,2.35,12,0 to 10,0.26,0.55,0.19
4000,BPR,2473285594.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.12,1,Z001,Cash,64938605,11.12.2018,Dec,11-12-18,11-12-18,1221001,2019,1.08,5,0 to 10,0.23,0.55,0.22
4000,BPR,2473286171.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.13,1,Z001,Cash,64975452,23.12.2018,Dec,23-12-18,23-12-18,1221001,2019,0.21,1,0 to 10,0.32,0.54,0.14
4000,BPR,2473286278.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.13,1,Z001,Cash,64985692,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,1.79,9,0 to 10,0.29,0.57,0.13
