BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
9600,BPR,2146119446,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.12,4,ZZ34,Credit,64780043,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.88,0.12,0,4,0,1,0,1,0,Yes
9600,BPR,2146119278,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.13,4,ZZ34,Credit,64778637,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.93,0.07,0,4,0,1,0,1,0,Yes
9600,BPR,2146119443,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,4,ZZ34,Credit,64780036,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.96,0.04,0,4,0,1,0,1,0,Yes
9600,BPR,2146119280,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,4,ZZ34,Credit,64778717,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.96,0.04,0,4,0,1,0,1,0,Yes
9600,BPR,2146119451,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,4,ZZ34,Credit,64780052,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.96,0.04,0,4,0,1,0,1,0,Yes
9600,BPR,2146119455,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,4,ZZ34,Credit,64780058,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.96,0.04,0,4,0,1,0,1,0,Yes
9600,BPR,2146119335,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,4,ZZ34,Credit,64779400,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.96,0.04,0,4,0,1,0,1,0,Yes
2500,BPR,2410319420,120961,SKM STEELS LTD,West,INDR,RV,0.14,0,ZZ41,Credit,64754908,24.10.2018,Oct,20181024,20181103,1221001,2019,20181103,3.49,33,0.99,0.01,0,2,0,1,0.12,0.88,0,Yes
1000,BPR,2431590935,120961,SKM STEELS LTD,West,INDR,RV,0.14,0,ZZ30,Credit,64777459,29.10.2018,Oct,20181029,20181103,1221001,2019,20181103,6.47,50,1,0,0,2,0,1,0.02,0.98,0,Yes
3000,BPR,2485213569,120961,SKM STEELS LTD,West,INDR,RV,0.04,2,ZZ28,Credit,64774624,29.10.2018,Oct,20181029,20181101,1221001,2019,20181103,6.47,50,1,0,0,2,0,1,0.34,0.59,0.07,Yes
