BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
1000,BPR,2412163041.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.14,6,ZZ42,Credit,64974555,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.19,0.61,0.2
1000,BPR,2412163070.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974584,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
1000,BPR,2412163071.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974585,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
1000,BPR,2412163069.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974583,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
1000,BPR,2412163068.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974582,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
1000,BPR,2412163072.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974586,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
1000,BPR,2412163073.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974587,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
1000,BPR,2412163051.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,6,ZZ42,Credit,64974565,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.21,0.6,0.19
9600,BPR,4130037284.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.16,7,Z001,Cash,64969885,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,2.73,17,0 to 10,0.46,0.49,0.05
9600,BPR,4130037253.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.14,8,Z001,Cash,64966798,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,3.07,19,0 to 10,0.47,0.5,0.03
