BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay
3000,BPR,2485216888,163486,Rohit & Co.,West,BOMB,RV,0.11,19,ZZ41,Credit,63004906,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.32,0.61,0.06
1000,BPR,2483314296,163486,Rohit & Co.,West,BOMB,RV,0.11,19,ZZ41,Credit,63010299,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.64,0.07
1000,BPR,2483314294,163486,Rohit & Co.,West,BOMB,RV,0.11,19,ZZ41,Credit,63010267,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.64,0.07
9600,BPR,2483314298,163486,Rohit & Co.,West,BOMB,RV,0.12,19,ZZ41,Credit,63010321,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.27,0.67,0.06
2000,BPR,2424231146,102084,DEVI DAYAL HARI KISHAN,North,KANP,RV,0.12,0,ZZ30,Credit,64965134,20.12.2018,Dec,20-12-18,25-12-18,1221001,2019,0.31,1,No Delay,0.53,0.45,0.02
9600,BPR,2483314301,163486,Rohit & Co.,West,BOMB,RV,0.12,19,ZZ41,Credit,63010331,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.27,0.67,0.06
9600,BPR,2483314314,163486,Rohit & Co.,West,BOMB,RV,0.12,19,ZZ41,Credit,63010671,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.27,0.67,0.06
9600,BPR,2483314308,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63010365,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.24,0.7,0.06
3000,BPR,2485216882,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63004804,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216960,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63011430,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216918,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63010285,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216932,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63011356,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216914,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63009589,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216942,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63011398,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216943,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63011399,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216947,163486,Rohit & Co.,West,BOMB,RV,0.13,19,ZZ41,Credit,63011408,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
3000,BPR,2485216877,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63004681,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.28,0.58,0.14
3000,BPR,2485216886,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63004899,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.28,0.58,0.14
3000,BPR,2485216924,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63010796,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.28,0.58,0.14
3000,BPR,2485216885,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63004859,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.28,0.58,0.14
9600,BPR,2483314283,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63009954,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.24,0.65,0.11
9600,BPR,2483314256,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63009652,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.24,0.65,0.11
2000,BPR,2424231197,102084,DEVI DAYAL HARI KISHAN,North,KANP,RV,0.25,3,ZZ30,Credit,64975279,23.12.2018,Dec,23-12-18,28-12-18,1221001,2019,0.62,3,Low Delay,0.27,0.73,0.01
9600,BPR,2483314257,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63009664,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.24,0.65,0.11
9600,BPR,2483314253,163486,Rohit & Co.,West,BOMB,RV,0.14,19,ZZ41,Credit,63009633,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.24,0.65,0.11
