,Pstng.Date,Account,Local.Crcy.Amt
1184,13-06-18,925879,0.12
1185,13-06-18,925879,0.18
1186,31-05-18,925879,0.17
1187,31-05-18,925879,0.16
1188,31-05-18,925879,0.14
1189,31-05-18,925879,0.17
1190,30-05-18,925879,0.16
1191,30-05-18,925879,0.17
1192,30-05-18,925879,0.13
1193,30-05-18,925879,0.12
1194,30-05-18,925879,0.16
1195,30-05-18,925879,0.14
1196,29-05-18,925879,0.13
1197,29-05-18,925879,0.13
1198,29-05-18,925879,0.17
1199,29-05-18,925879,0.16
1200,26-05-18,925879,0.14
1201,25-05-18,925879,0.16
1202,25-05-18,925879,0.17
1203,25-05-18,925879,0.16
1204,24-05-18,925879,0.14
1205,23-05-18,925879,0.15
1206,23-05-18,925879,0.14
1207,22-05-18,925879,0.12
1208,21-05-18,925879,0.17
1209,21-05-18,925879,0.16
1210,21-05-18,925879,0.15
1211,21-05-18,925879,0.17
1212,19-05-18,925879,0.16
1213,18-05-18,925879,0.13
1214,18-05-18,925879,0.16
1215,18-05-18,925879,0.17
1216,17-05-18,925879,0.13
1217,16-05-18,925879,0.17
1218,16-05-18,925879,0.17
1219,16-05-18,925879,0.16
1220,16-05-18,925879,0.16
1221,15-05-18,925879,0.16
1222,14-05-18,925879,0.17
1223,12-05-18,925879,0.16
1224,12-05-18,925879,0.16
1225,11-05-18,925879,0.15
1226,11-05-18,925879,0.17
1227,08-05-18,925879,0.16
1228,08-05-18,925879,0.16
1229,08-05-18,925879,0.14
1230,08-05-18,925879,0.14
1231,05-05-18,925879,0.12
1232,03-05-18,925879,0.16
1233,28-09-18,925879,0.14
1234,28-09-18,925879,0.14
1265,27-06-18,925879,0.15
1266,22-06-18,925879,0.09
1267,13-06-18,925879,0.16
1268,09-06-18,925879,0.15
1269,08-06-18,925879,0.15
1270,29-05-18,925879,0.1
1271,29-05-18,925879,0.15
1272,29-05-18,925879,0.16
1273,24-05-18,925879,0.1
1274,21-05-18,925879,0.12
1275,17-05-18,925879,0.18
1276,17-05-18,925879,0.17
1277,04-05-18,925879,0.16
1285,12-04-18,925879,0.14
1286,18-04-18,925879,0.14
1287,18-04-18,925879,0.15
1288,18-04-18,925879,0.15
1289,18-04-18,925879,0.15
1290,20-04-18,925879,0.16
1291,30-04-18,925879,0.14
1292,30-04-18,925879,0.12
1293,30-04-18,925879,0.15
1301,11-04-18,925879,0.12
1302,11-04-18,925879,0.15
1303,12-04-18,925879,0.16
1304,12-04-18,925879,0.16
1305,12-04-18,925879,0.0
1306,12-04-18,925879,0.17
1307,18-04-18,925879,0.17
1308,19-04-18,925879,0.16
1309,19-04-18,925879,0.16
1310,19-04-18,925879,0.13
1311,20-04-18,925879,0.17
1312,24-04-18,925879,0.16
1313,24-04-18,925879,0.12
1314,24-04-18,925879,0.13
1315,24-04-18,925879,0.15
1316,25-04-18,925879,0.17
1317,30-04-18,925879,0.15
1318,30-04-18,925879,0.12
1319,30-04-18,925879,0.12
1326,30-10-18,925879,0.17
1327,22-10-18,925879,0.16
1329,12-10-18,925879,0.16
1334,13-10-18,925879,0.14
1336,31-10-18,925879,0.13
1337,31-10-18,925879,0.13
1338,31-10-18,925879,0.12
1339,31-10-18,925879,0.12
1340,31-10-18,925879,0.12
