,Pstng.Date,pending_cnt
38082,2018-07-27,14
38083,2018-07-27,14
38084,2018-07-27,14
38085,2018-07-27,14
38086,2018-07-27,14
38087,2018-07-27,14
38088,2018-07-27,14
38089,2018-07-26,7
38090,2018-07-26,7
38091,2018-07-26,7
38092,2018-07-26,7
38093,2018-07-26,7
38094,2018-07-26,7
38095,2018-07-26,7
38096,2018-07-26,7
38097,2018-07-25,0
38098,2018-07-25,0
38099,2018-07-25,0
38100,2018-07-25,0
38101,2018-07-25,0
38102,2018-07-25,0
38103,2018-07-24,0
38104,2018-07-24,0
38105,2018-07-24,0
38106,2018-07-24,0
38107,2018-07-24,0
38108,2018-07-24,0
38109,2018-07-24,0
38110,2018-07-24,0
38111,2018-07-24,0
38112,2018-07-23,0
38113,2018-07-23,0
38114,2018-07-23,0
38115,2018-07-23,0
38116,2018-07-23,0
38117,2018-07-23,0
38118,2018-07-23,0
38119,2018-07-23,0
38120,2018-07-23,0
38121,2018-07-20,0
38122,2018-07-20,0
38123,2018-07-19,0
38124,2018-07-19,0
38125,2018-07-19,0
38126,2018-07-19,0
38127,2018-07-19,0
38128,2018-07-19,0
38129,2018-07-19,0
38130,2018-07-19,0
38131,2018-07-19,0
38132,2018-07-19,0
38133,2018-07-19,0
38134,2018-07-19,0
38135,2018-07-19,0
38136,2018-07-19,0
38137,2018-07-19,0
38138,2018-07-18,0
38139,2018-07-18,0
38140,2018-07-18,0
38141,2018-07-18,0
38142,2018-07-17,0
38143,2018-07-17,0
38144,2018-07-17,0
38145,2018-07-17,0
38146,2018-07-17,0
38147,2018-07-17,0
38148,2018-07-16,0
38149,2018-07-16,0
38150,2018-07-16,0
38151,2018-07-16,0
38152,2018-07-16,0
38153,2018-07-14,0
38154,2018-07-13,0
38155,2018-07-13,0
38156,2018-07-13,0
38157,2018-07-13,0
38158,2018-07-13,0
38159,2018-07-13,0
38160,2018-07-13,0
38161,2018-07-04,30
38162,2018-07-04,30
38163,2018-07-03,35
38164,2018-08-29,20
38165,2018-06-30,27
38166,2018-08-28,15
38167,2018-08-28,15
38168,2018-06-30,27
38169,2018-06-30,27
38170,2018-06-30,27
38171,2018-06-30,27
38172,2018-06-30,27
38173,2018-06-30,27
38174,2018-06-30,27
38175,2018-06-30,27
38176,2018-06-30,27
38177,2018-06-30,27
38178,2018-06-30,27
38179,2018-06-30,27
38180,2018-06-30,27
38181,2018-06-30,27
38182,2018-06-30,27
38183,2018-06-29,26
38184,2018-06-29,26
38185,2018-06-29,26
38186,2018-06-29,26
38187,2018-06-29,26
38188,2018-06-29,26
38189,2018-06-29,26
38190,2018-06-29,26
38191,2018-06-29,26
38192,2018-06-29,26
38193,2018-06-29,26
38194,2018-06-29,26
38195,2018-06-28,13
38196,2018-06-28,13
38197,2018-06-28,13
38198,2018-06-28,13
38199,2018-06-28,13
38200,2018-06-28,13
38201,2018-06-28,13
38202,2018-06-28,13
38203,2018-06-28,13
38204,2018-06-27,8
38205,2018-06-27,8
38206,2018-06-27,8
38207,2018-06-27,8
38208,2018-06-27,8
38209,2018-06-27,8
38210,2018-06-27,8
38211,2018-06-27,8
38212,2018-06-27,8
38213,2018-06-27,8
38214,2018-06-27,8
38215,2018-06-27,8
38216,2018-06-27,8
38217,2018-06-27,8
38218,2018-06-27,8
38219,2018-06-27,8
38220,2018-06-26,6
38221,2018-06-26,6
38222,2018-06-26,6
38223,2018-06-26,6
38224,2018-06-26,6
38225,2018-06-26,6
38226,2018-06-26,6
38227,2018-06-26,6
38228,2018-06-26,6
38229,2018-06-26,6
38230,2018-06-25,2
38231,2018-06-25,2
38232,2018-06-25,2
38233,2018-06-25,2
38234,2018-06-25,2
38235,2018-06-25,2
38236,2018-06-25,2
38237,2018-06-25,2
38238,2018-06-25,2
38239,2018-06-25,2
38240,2018-06-25,2
38241,2018-06-23,0
38242,2018-06-23,0
38243,2018-06-23,0
38244,2018-06-23,0
38245,2018-06-23,0
38246,2018-06-22,0
38247,2018-06-22,0
38248,2018-06-22,0
38249,2018-06-22,0
38250,2018-06-22,0
38251,2018-06-22,0
38252,2018-06-22,0
38253,2018-06-22,0
38254,2018-06-21,0
38255,2018-06-21,0
38256,2018-06-21,0
38257,2018-06-21,0
38258,2018-06-21,0
38259,2018-06-21,0
38260,2018-06-21,0
38261,2018-06-21,0
38262,2018-06-21,0
38263,2018-06-20,0
38264,2018-06-20,0
38265,2018-06-20,0
38266,2018-06-20,0
38267,2018-06-19,0
38268,2018-06-19,0
38269,2018-06-19,0
38270,2018-06-19,0
38271,2018-06-19,0
38272,2018-06-18,0
38273,2018-06-14,0
38274,2018-06-14,0
38275,2018-06-14,0
38276,2018-06-14,0
38277,2018-06-14,0
38278,2018-06-14,0
38279,2018-06-14,0
38280,2018-06-14,0
38281,2018-06-13,0
38282,2018-06-13,0
38283,2018-06-13,0
38284,2018-06-13,0
38285,2018-06-13,0
38286,2018-06-13,0
38287,2018-06-13,0
38288,2018-06-13,0
38289,2018-06-13,0
38290,2018-06-12,0
38291,2018-06-12,0
38292,2018-06-12,0
38293,2018-06-12,0
38294,2018-06-11,0
38295,2018-06-11,0
38296,2018-06-11,0
38297,2018-06-11,0
38298,2018-06-11,0
38299,2018-06-08,1
38300,2018-06-08,1
38301,2018-06-08,1
38302,2018-06-08,1
38303,2018-06-02,24
38304,2018-06-02,24
38305,2018-05-31,24
38306,2018-05-31,24
38307,2018-05-31,24
38308,2018-05-31,24
38309,2018-05-31,24
38310,2018-05-31,24
38311,2018-05-31,24
38312,2018-05-31,24
38313,2018-05-31,24
38314,2018-05-31,24
38315,2018-05-30,24
38316,2018-05-30,24
38317,2018-05-30,24
38318,2018-05-30,24
38319,2018-05-30,24
38320,2018-05-30,24
38321,2018-05-30,24
38322,2018-05-30,24
38323,2018-05-30,24
38324,2018-05-30,24
38325,2018-05-30,24
38326,2018-05-30,24
38327,2018-05-30,24
38328,2018-05-30,24
38329,2018-05-29,19
38330,2018-05-29,19
38331,2018-05-29,19
38332,2018-05-29,19
38333,2018-05-29,19
38334,2018-05-29,19
38335,2018-05-29,19
38336,2018-05-29,19
38337,2018-05-29,19
38338,2018-05-29,19
38339,2018-05-29,19
38340,2018-05-29,19
38341,2018-05-29,19
38342,2018-05-28,14
38343,2018-05-28,14
38344,2018-05-28,14
38345,2018-05-28,14
38346,2018-05-28,14
38347,2018-05-28,14
38348,2018-05-26,14
38349,2018-05-26,14
38350,2018-05-26,14
38351,2018-05-26,14
38352,2018-05-26,14
38353,2018-05-26,14
38354,2018-05-26,14
38355,2018-05-26,14
38356,2018-05-26,14
38357,2018-05-25,13
38358,2018-05-25,13
38359,2018-05-25,13
38360,2018-05-25,13
38361,2018-05-25,13
38362,2018-05-25,13
38363,2018-05-25,13
38364,2018-05-25,13
38365,2018-05-24,12
38366,2018-05-24,12
38367,2018-05-24,12
38368,2018-05-24,12
38369,2018-05-24,12
38370,2018-05-24,12
38371,2018-05-24,12
38372,2018-05-24,12
38373,2018-05-24,12
38374,2018-05-24,12
38375,2018-05-23,12
38376,2018-05-23,12
38377,2018-05-23,12
38378,2018-05-23,12
38379,2018-05-23,12
38380,2018-05-23,12
38381,2018-05-23,12
38382,2018-05-23,12
38383,2018-05-23,12
38384,2018-05-23,12
38385,2018-05-23,12
38386,2018-05-23,12
38387,2018-05-23,12
38388,2018-05-23,12
38389,2018-05-21,0
38390,2018-05-21,0
38391,2018-05-21,0
38392,2018-05-21,0
38393,2018-05-21,0
38394,2018-05-21,0
38395,2018-05-21,0
38396,2018-05-21,0
38397,2018-05-19,0
38398,2018-05-19,0
38399,2018-05-19,0
38400,2018-05-19,0
38401,2018-05-19,0
38402,2018-05-19,0
38403,2018-05-19,0
38404,2018-05-19,0
38405,2018-05-19,0
38406,2018-05-19,0
38407,2018-05-19,0
38408,2018-05-18,0
38409,2018-05-18,0
38410,2018-05-18,0
38411,2018-05-18,0
38412,2018-05-18,0
38413,2018-05-18,0
38414,2018-05-18,0
38415,2018-05-17,0
38416,2018-05-17,0
38417,2018-05-17,0
38418,2018-05-17,0
38419,2018-05-17,0
38420,2018-05-17,0
38421,2018-05-16,0
38422,2018-05-16,0
38423,2018-05-16,0
38424,2018-05-16,0
38425,2018-05-16,0
38426,2018-05-16,0
38427,2018-05-16,0
38428,2018-05-16,0
38429,2018-05-16,0
38430,2018-05-16,0
38431,2018-05-15,0
38432,2018-05-15,0
38433,2018-05-15,0
38434,2018-05-15,0
38435,2018-05-15,0
38436,2018-05-15,0
38437,2018-05-15,0
38438,2018-05-15,0
38439,2018-05-14,1
38440,2018-05-14,1
38441,2018-05-14,1
38442,2018-05-14,1
38443,2018-05-14,1
38444,2018-05-14,1
38445,2018-05-14,1
38446,2018-05-14,1
38447,2018-05-14,1
38448,2018-05-12,0
38449,2018-05-12,0
38450,2018-05-12,0
38451,2018-05-12,0
38452,2018-05-12,0
38453,2018-05-12,0
38454,2018-05-12,0
38455,2018-05-11,0
38456,2018-05-11,0
38457,2018-05-11,0
38458,2018-05-11,0
38459,2018-05-11,0
38460,2018-05-11,0
38461,2018-05-11,0
38462,2018-05-11,0
38463,2018-05-10,0
38464,2018-05-10,0
38465,2018-05-10,0
38466,2018-05-10,0
38467,2018-05-10,0
38468,2018-05-10,0
38469,2018-05-09,0
38470,2018-05-09,0
38471,2018-05-09,0
38472,2018-05-09,0
38473,2018-05-08,0
38474,2018-05-08,0
38475,2018-05-08,0
38476,2018-05-08,0
38477,2018-05-03,13
38478,2018-05-02,19
38479,2018-05-02,19
38480,2018-06-25,2
38481,2018-06-25,2
38482,2018-06-25,2
38483,2018-06-25,2
38484,2018-06-02,24
38485,2018-06-28,13
38486,2018-06-28,13
38487,2018-06-28,13
38488,2018-06-28,13
38489,2018-08-27,11
38490,2018-08-25,2
38491,2018-08-25,2
38492,2018-08-24,0
38493,2018-08-24,0
38494,2018-06-28,13
38495,2018-06-28,13
38496,2018-06-27,8
38497,2018-06-27,8
38498,2018-06-27,8
38499,2018-06-27,8
38500,2018-06-27,8
38501,2018-06-26,6
38502,2018-06-26,6
38503,2018-05-26,14
38504,2018-05-26,14
38505,2018-05-25,13
38506,2018-05-24,12
38507,2018-05-22,2
38508,2018-05-22,2
38509,2018-05-21,0
38510,2018-05-21,0
38511,2018-08-28,15
38512,2018-08-27,11
38513,2018-08-27,11
38514,2018-08-27,11
38515,2018-06-28,13
38516,2018-08-24,0
38517,2018-08-24,0
38518,2018-08-23,0
38519,2018-08-24,0
38520,2018-08-24,0
38521,2018-08-24,0
38522,2018-04-19,0
38523,2018-04-19,0
38524,2018-04-19,0
38525,2018-04-23,23
38526,2018-04-23,23
38527,2018-04-25,31
38528,2018-04-30,17
38529,2018-04-21,3
38530,2018-04-21,3
38531,2018-04-21,3
38532,2018-04-21,3
38533,2018-04-21,3
38534,2018-04-21,3
38535,2018-04-21,3
38536,2018-04-21,3
38537,2018-04-21,3
38538,2018-04-21,3
38539,2018-04-21,3
38540,2018-04-21,3
38541,2018-04-21,3
38542,2018-04-21,3
38543,2018-04-21,3
38544,2018-04-21,3
38545,2018-04-26,29
38546,2018-04-26,29
38547,2018-04-26,29
38548,2018-04-26,29
38549,2018-04-26,29
38550,2018-04-26,29
38551,2018-04-03,1
38552,2018-04-03,1
38553,2018-04-04,1
38554,2018-04-06,1
38555,2018-04-06,1
38556,2018-04-06,1
38557,2018-04-06,1
38558,2018-04-06,1
38559,2018-04-06,1
38560,2018-04-06,1
38561,2018-04-06,1
38562,2018-04-09,0
38563,2018-04-09,0
38564,2018-04-09,0
38565,2018-04-09,0
38566,2018-04-10,0
38567,2018-04-10,0
38568,2018-04-10,0
38569,2018-04-10,0
38570,2018-04-10,0
38571,2018-04-10,0
38572,2018-04-11,0
38573,2018-04-11,0
38574,2018-04-11,0
38575,2018-04-11,0
38576,2018-04-11,0
38577,2018-04-11,0
38578,2018-04-12,0
38579,2018-04-12,0
38580,2018-04-12,0
38581,2018-04-12,0
38582,2018-04-13,0
38583,2018-04-13,0
38584,2018-04-13,0
38585,2018-04-13,0
38586,2018-04-13,0
38587,2018-04-13,0
38588,2018-04-13,0
38589,2018-04-13,0
38590,2018-04-17,0
38591,2018-04-17,0
38592,2018-04-17,0
38593,2018-04-17,0
38594,2018-04-17,0
38595,2018-04-17,0
38596,2018-04-17,0
38597,2018-04-17,0
38598,2018-04-17,0
38599,2018-04-17,0
38600,2018-04-17,0
38601,2018-04-17,0
38602,2018-04-17,0
38603,2018-04-18,0
38604,2018-04-18,0
38605,2018-04-18,0
38606,2018-04-18,0
38607,2018-04-18,0
38608,2018-04-18,0
38609,2018-04-18,0
38610,2018-04-18,0
38611,2018-04-18,0
38612,2018-04-19,0
38613,2018-04-19,0
38614,2018-04-19,0
38615,2018-04-19,0
38616,2018-04-19,0
38617,2018-04-19,0
38618,2018-04-19,0
38619,2018-04-19,0
38620,2018-04-20,3
38621,2018-04-20,3
38622,2018-04-20,3
38623,2018-04-20,3
38624,2018-04-21,3
38625,2018-04-21,3
38626,2018-04-21,3
38627,2018-04-21,3
38628,2018-04-23,23
38629,2018-04-23,23
38630,2018-04-23,23
38631,2018-04-23,23
38632,2018-04-23,23
38633,2018-04-23,23
38634,2018-04-23,23
38635,2018-04-23,23
38636,2018-04-23,23
38637,2018-04-23,23
38638,2018-04-23,23
38639,2018-04-24,27
38640,2018-04-24,27
38641,2018-04-24,27
38642,2018-04-24,27
38643,2018-04-24,27
38644,2018-04-24,27
38645,2018-04-24,27
38646,2018-04-24,27
38647,2018-04-24,27
38648,2018-04-24,27
38649,2018-04-24,27
38650,2018-04-24,27
38651,2018-04-24,27
38652,2018-04-24,27
38653,2018-04-25,31
38654,2018-04-25,31
38655,2018-04-25,31
38656,2018-04-25,31
38657,2018-04-25,31
38658,2018-04-25,31
38659,2018-04-25,31
38660,2018-04-25,31
38661,2018-04-25,31
38662,2018-04-25,31
38663,2018-04-25,31
38664,2018-04-25,31
38665,2018-04-25,31
38666,2018-04-25,31
38667,2018-04-27,43
38668,2018-04-27,43
38669,2018-04-27,43
38670,2018-04-27,43
38671,2018-04-27,43
38672,2018-04-27,43
38673,2018-04-27,43
38674,2018-04-27,43
38675,2018-04-27,43
38676,2018-04-27,43
38677,2018-04-27,43
38678,2018-04-27,43
38679,2018-04-27,43
38680,2018-04-27,43
38681,2018-04-30,17
38682,2018-04-30,17
38683,2018-04-23,23
38684,2018-04-23,23
38685,2018-10-27,0
38686,2018-10-27,0
38687,2018-10-31,22
38688,2018-10-31,22
38689,2018-10-31,22
38690,2018-10-31,22
38691,2018-10-30,10
38692,2018-10-31,22
38693,2018-10-30,10
38694,2018-10-29,9
38695,2018-10-29,9
38696,2018-10-30,10
38697,2018-10-29,9
38698,2018-10-30,10
38699,2018-10-30,10
38700,2018-10-29,9
38701,2018-10-31,22
38702,2018-10-30,10
38703,2018-10-31,22
38704,2018-10-31,22
38705,2018-10-30,10
38706,2018-10-31,22
38707,2018-10-31,22
38708,2018-10-31,22
38709,2018-10-31,22
38710,2018-10-30,10
38711,2018-10-29,9
38712,2018-10-31,22
38713,2018-10-29,9
38714,2018-10-31,22
38715,2018-10-29,9
38716,2018-10-30,10
38717,2018-10-31,22
38718,2018-10-30,10
38719,2018-10-29,9
38720,2018-10-25,0
38721,2018-10-30,10
38722,2018-10-27,0
38723,2018-10-24,0
38724,2018-10-26,0
38725,2018-10-30,10
38726,2018-10-26,0
38727,2018-10-24,0
38728,2018-10-22,0
38729,2018-10-23,0
38730,2018-10-22,0
38731,2018-10-22,0
38732,2018-10-22,0
38733,2018-10-22,0
38734,2018-10-26,0
38735,2018-10-24,0
38736,2018-10-23,0
38737,2018-10-25,0
38738,2018-10-22,0
38739,2018-10-24,0
38740,2018-10-31,22
38741,2018-10-25,0
38742,2018-10-25,0
38743,2018-10-27,0
38744,2018-10-25,0
38745,2018-10-27,0
38746,2018-10-24,0
38747,2018-10-25,0
38748,2018-10-24,0
38749,2018-10-25,0
38750,2018-10-24,0
38751,2018-10-24,0
38752,2018-10-23,0
38753,2018-10-23,0
38754,2018-10-31,22
38755,2018-10-23,0
38756,2018-10-24,0
38757,2018-10-25,0
38758,2018-10-26,0
38759,2018-10-31,22
38760,2018-10-29,9
38761,2018-10-31,22
38762,2018-10-31,22
38763,2018-10-26,0
38764,2018-10-31,22
38765,2018-10-29,9
38766,2018-10-22,0
38767,2018-10-24,0
38768,2018-10-25,0
38769,2018-10-26,0
38770,2018-10-29,9
38771,2018-10-30,10
38772,2018-10-31,22
38773,2018-10-26,0
38774,2018-10-23,0
38775,2018-10-25,0
38776,2018-10-26,0
38777,2018-10-31,22
38778,2018-10-25,0
38779,2018-10-22,0
38780,2018-10-26,0
38781,2018-10-22,0
38782,2018-10-22,0
38783,2018-10-24,0
38784,2018-10-26,0
38785,2018-10-22,0
38786,2018-10-27,0
38787,2018-10-27,0
38788,2018-10-25,0
38789,2018-10-25,0
38790,2018-10-26,0
38791,2018-10-22,0
38792,2018-10-23,0
38793,2018-10-30,10
38794,2018-10-31,22
38795,2018-10-22,0
38796,2018-10-26,0
38797,2018-10-30,10
38798,2018-10-31,22
38799,2018-10-24,0
38800,2018-10-26,0
38801,2018-10-31,22
38802,2018-10-29,9
38803,2018-10-23,0
38804,2018-10-23,0
38805,2018-10-24,0
38806,2018-10-26,0
38807,2018-10-24,0
38808,2018-10-25,0
38809,2018-10-30,10
38810,2018-10-31,22
38811,2018-10-22,0
38812,2018-10-22,0
38813,2018-10-31,22
38814,2018-10-31,22
38815,2018-10-29,9
38816,2018-10-27,0
38817,2018-10-29,9
38818,2018-10-26,0
38819,2018-10-31,22
38820,2018-10-31,22
38821,2018-10-22,0
38822,2018-10-30,10
38823,2018-10-31,22
38824,2018-10-31,22
38825,2018-10-31,22
38826,2018-10-22,0
38827,2018-11-09,23
38828,2018-11-09,23
38829,2018-11-09,23
38830,2018-11-30,5
38831,2018-11-30,5
38832,2018-11-30,5
38833,2018-11-30,5
38834,2018-11-30,5
38835,2018-11-30,5
38836,2018-11-30,5
38837,2018-11-30,5
38838,2018-11-30,5
38839,2018-11-30,5
