,Material No,Matl Group,MG 1,MG 2,MG 3,WidthXThk,PROFILE,COLOUR,LOCK MAKE,Design
4434,1293520,1,1,1,1,800,0,7,6,PLAINWOOD
4435,1293521,1,1,1,1,510,2,7,6,PLAINWOOD
4436,1293522,1,1,1,1,97,0,7,6,PLAINWOOD
4437,1293523,1,1,1,1,545,0,7,6,PLAINWOOD
4438,1293524,1,0,0,1,141,2,7,6,E32
4439,1293525,1,1,1,1,549,0,7,6,PLAINWOOD
4440,1293526,1,0,0,1,140,2,7,6,E32
4441,1293527,1,1,1,1,538,0,7,6,PLAINWOOD
4442,1293528,1,0,0,1,140,2,7,6,E32
4443,1293529,1,1,1,1,538,2,7,6,PLAINWOOD
4444,1293533,1,0,0,1,197,2,7,12,E32
4445,1293534,1,0,0,1,197,2,7,12,PLAINWOOD
4446,1293535,1,0,0,1,786,2,1,12,E02
4447,1293536,1,0,0,1,185,8,1,13,E18
4448,1293537,1,0,0,0,51,0,7,6,PLAINWOOD
4449,1293538,1,0,0,1,51,7,8,6,E02
4450,1293539,1,0,0,1,819,0,0,6,PLAINWOOD
4451,1293540,1,0,0,1,79,0,0,6,PLAINWOOD
4452,1293541,1,0,0,1,92,0,0,6,PLAINWOOD
4453,1293542,1,1,1,1,512,0,0,6,PLAINWOOD
4454,1293543,1,0,0,1,743,0,0,6,PLAINWOOD
4455,1293544,1,0,0,1,99,0,0,6,PLAINWOOD
4456,1293550,1,0,0,0,365,2,7,6,PLAINWOOD
4457,1293551,1,1,1,1,591,2,7,21,PLAINWOOD
4458,1293552,1,1,1,1,599,2,23,6,PLAINSTEEL
4459,1293553,1,0,0,1,776,7,0,7,PLAINWOOD
4460,1293554,1,0,0,1,185,7,8,6,E02
4461,1293555,1,0,0,1,185,7,8,6,E02
4462,1293557,1,0,0,1,175,0,7,6,E02
4463,1293559,1,1,1,1,143,0,25,6,PLAINSTEEL
4464,1293560,1,0,0,1,591,0,8,6,PLAINWOOD
4465,1293562,1,0,0,1,282,0,1,6,E02
4466,1293563,1,0,0,1,128,0,7,6,E18
4467,1293564,1,0,0,1,689,0,19,6,PLAINSTEEL
4468,1293565,1,0,0,1,34,0,0,7,E05
4469,1293566,1,1,1,1,890,0,0,6,E05
4470,1293567,1,1,1,1,671,0,0,6,E05
4471,1293568,1,1,1,1,656,0,0,6,E05
4472,1293569,1,1,1,1,886,0,0,6,E05
4473,1293570,1,1,1,1,574,0,0,6,PLAINWOOD
4474,1293571,1,0,0,1,302,0,19,6,PLAINSTEEL
4475,1293572,1,0,0,1,772,0,7,6,E02
4476,1293575,1,0,0,1,185,0,7,13,E02
4477,1293576,1,1,1,1,12,0,1,21,PLAINWOOD
4478,1293578,1,0,0,1,317,0,7,13,E05
4479,1293582,1,0,0,0,175,0,7,12,PLAINWOOD
4480,1293583,1,1,1,1,135,0,0,6,PLAINWOOD
4481,1293584,1,0,0,1,26,2,8,6,E05
4482,1293585,1,0,0,1,26,2,8,6,E05
4483,1293586,1,0,0,1,23,8,7,12,E18
4484,1293587,1,0,0,1,24,2,7,12,E18
4485,1293588,1,0,0,1,317,0,1,13,E01
4486,1293589,1,0,0,1,131,0,7,13,E32
4487,1293595,1,0,0,1,323,0,7,7,E18
4488,1293596,1,0,0,1,765,0,8,7,E18
4489,1293599,1,0,0,1,317,0,1,6,E18
4490,1293600,1,0,0,1,762,0,7,6,E05
4491,1293601,1,0,0,1,118,0,8,6,E32
4492,1293602,1,0,0,1,118,0,8,6,PLAINWOOD
4493,1293605,1,0,0,1,765,0,23,6,PLAINSTEEL
4494,1293606,1,0,0,1,51,0,25,7,PLAINSTEEL
4495,1293607,1,0,0,1,51,8,7,6,E32
4496,1293609,1,0,0,1,317,8,7,6,E02
4497,1293613,1,1,1,1,596,2,7,6,PLAINWOOD
4498,1293614,1,1,1,1,816,2,7,21,E18
4499,1293616,1,1,1,1,816,2,7,21,E32
4500,1293619,1,0,0,1,26,2,3,12,E18
4501,1293622,1,0,0,1,822,2,7,12,PLAINWOOD
4502,1293626,1,1,1,1,599,2,8,15,PLAINWOOD
4503,1293637,1,0,0,1,547,0,1,6,PLAINWOOD
4504,1293638,1,0,0,1,547,0,0,6,PLAINWOOD
4505,1293639,1,0,0,1,175,0,0,7,E05
4506,1293642,1,0,0,1,599,0,25,12,PLAINSTEEL
4507,1293645,1,0,0,1,185,9,8,12,PLAINWOOD
4508,1293646,1,0,0,1,873,0,0,12,E01
4509,1293652,1,0,0,0,26,8,8,12,PLAINWOOD
4510,1293653,1,0,0,0,26,2,8,12,PLAINWOOD
4511,1293656,1,0,0,1,31,2,1,12,E01
4512,1293659,1,1,1,1,47,0,19,6,PLAINSTEEL
4513,1293662,1,0,0,1,118,0,8,12,E18
4514,1293663,1,0,0,1,118,0,7,12,E01
4515,1293664,1,0,0,1,47,0,25,12,PLAINSTEEL
4516,1293665,1,0,0,1,762,0,19,12,PLAINSTEEL
4517,1293666,1,1,1,1,765,0,3,6,PLAINWOOD
4518,1293669,1,0,0,1,327,7,7,6,E32
4519,1293673,1,0,0,1,650,2,0,16,PLAINWOOD
4520,1293674,1,0,0,1,650,2,0,16,PLAINWOOD
4521,1293675,1,0,0,1,716,2,0,16,PLAINWOOD
4522,1293676,1,0,0,1,716,2,0,16,PLAINWOOD
4523,1293677,1,1,1,1,650,2,0,6,PLAINWOOD
4524,1293678,1,0,0,1,323,2,7,16,E32
4525,1293679,1,0,0,1,721,2,1,16,E18
4526,1293680,1,0,0,1,716,2,3,16,E01
4527,1293681,1,1,1,1,716,2,1,6,PLAINWOOD
4528,1293682,1,0,0,1,721,2,30,16,PLAINSTEEL
4529,1293683,1,0,0,1,6,0,7,15,E01
4530,1293684,1,1,1,1,650,0,7,6,PLAINWOOD
4531,1293687,1,0,0,1,124,5,30,16,E32
4532,1293690,1,0,0,1,716,0,25,15,PLAINSTEEL
4533,1293692,1,0,0,1,716,0,3,16,PLAINWOOD
4534,1293693,1,1,1,1,716,0,3,6,PLAINWOOD
4535,1293694,1,1,1,1,716,0,3,6,PLAINWOOD
4536,1292775,1,1,1,1,840,0,7,6,PLAINWOOD
4537,1292776,1,1,1,1,839,0,7,6,PLAINWOOD
4538,1292777,1,1,1,1,840,0,7,6,PLAINWOOD
4539,1292778,1,0,0,1,618,0,8,12,PLAINWOOD
4540,1293742,1,0,0,1,225,0,1,5,PLAINWOOD
4541,1293873,1,1,1,1,840,0,7,6,PLAINWOOD
4542,1293874,1,1,1,1,839,0,7,6,PLAINWOOD
4543,1293875,1,1,1,1,840,0,7,6,PLAINWOOD
4544,1293876,1,0,0,1,618,0,8,12,PLAINWOOD
4545,1293878,1,0,0,1,336,4,20,5,PLAINSTEEL
4546,1293879,1,0,0,0,456,4,20,5,PLAINSTEEL
4547,1293885,1,0,0,0,397,4,24,5,PLAINSTEEL
4548,1293892,1,0,0,1,476,4,18,20,PLAINSTEEL
4549,1293897,1,0,0,0,420,4,18,5,PLAINSTEEL
4550,1293898,1,0,0,0,420,4,18,5,PLAINSTEEL
4551,1293901,1,0,0,1,477,4,18,20,PLAINSTEEL
4552,1293902,1,0,0,1,323,4,18,5,PLAINSTEEL
4553,1293905,1,0,0,0,464,4,18,19,PLAINSTEEL
4554,1293930,1,1,1,1,528,0,1,17,PLAINWOOD
4555,1293936,1,1,1,1,529,0,1,17,PLAINWOOD
4556,1293937,1,1,1,1,525,0,1,17,PLAINWOOD
4557,1293938,1,1,1,1,528,0,1,17,PLAINWOOD
4558,1293939,1,1,1,1,528,2,1,17,PLAINWOOD
4559,1293941,1,1,1,1,742,0,1,17,PLAINWOOD
4560,1293942,1,1,1,1,742,2,1,17,PLAINWOOD
4561,1293943,1,0,0,1,225,0,1,5,PLAINWOOD
4562,1295681,1,1,1,1,568,0,30,15,PLAINSTEEL
4563,1295682,1,0,0,1,644,0,7,7,E32
4564,1295903,1,0,0,1,339,7,0,7,E01
4565,1295904,1,0,0,1,17,9,10,7,E05
4566,1295906,1,1,1,1,479,2,25,22,PLAINSTEEL
4567,1295908,1,0,0,0,12,7,21,7,PLAINSTEEL
4568,1295909,1,0,0,1,454,0,11,7,PLAINWOOD
4569,1295910,1,0,0,1,224,2,8,6,E32
4570,1295912,1,1,1,1,828,2,30,21,PLAINSTEEL
4571,1295913,1,1,1,1,828,2,30,21,PLAINSTEEL
4572,1295914,1,1,1,1,601,2,8,6,PLAINWOOD
4573,1295915,1,1,1,1,601,2,8,6,PLAINWOOD
4574,1295917,1,0,0,1,40,0,25,6,PLAINSTEEL
4575,1295918,1,0,0,1,61,0,7,6,E05
4576,1295919,1,0,0,1,664,0,25,6,PLAINSTEEL
4577,1295922,1,1,1,1,185,0,1,6,E18
4578,1295923,1,0,0,1,185,0,1,12,E18
4579,1295931,1,0,0,1,303,0,7,12,E01
4580,1295932,1,0,0,1,542,0,8,12,PLAINWOOD
4581,1295933,1,0,0,1,315,0,3,12,E18
4582,1295934,1,1,1,1,731,0,19,6,PLAINSTEEL
4583,1295935,1,0,0,1,636,0,19,12,PLAINSTEEL
4584,1295936,1,0,0,1,542,0,19,12,PLAINSTEEL
4585,1295939,1,1,1,1,872,0,8,6,E32
4586,1295941,1,0,0,1,871,0,7,12,E01
4587,1295942,1,1,1,1,175,10,1,21,PLAINWOOD
4588,1295943,1,1,1,1,547,10,0,21,PLAINWOOD
